2026-08-08T15:13:39.831603900Z [inf]  Starting Container
2026-08-08T15:17:13.402139726Z [inf]  [IndependenceScore] 1200ae14: session_score=14 (avg=14 bonus=0)
2026-08-08T15:17:13.402142956Z [inf]  [IndependenceScore] 0390e647: no responses — excluded
2026-08-08T15:17:13.402145776Z [inf]  [IndependenceScore] ec0912d3: no responses — excluded
2026-08-08T15:17:13.402149236Z [inf]  [IndependenceScore] 46be8b04 Q1: raw=5/35 norm=14 words=29 fired=[answered_not_skipped]
2026-08-08T15:17:13.402152456Z [inf]  [IndependenceScore] 46be8b04 Q2: raw=5/35 norm=14 words=7 fired=[answered_not_skipped]
2026-08-08T15:17:13.402155486Z [inf]  [IndependenceScore] 46be8b04 Q3: raw=5/35 norm=14 words=10 fired=[answered_not_skipped]
2026-08-08T15:17:13.402158076Z [inf]  [IndependenceScore] 46be8b04 Q4: raw=5/35 norm=14 words=19 fired=[answered_not_skipped]
2026-08-08T15:17:13.402160706Z [inf]  [IndependenceScore] 46be8b04: session_score=24 (avg=14 bonus=10)
2026-08-08T15:17:13.402163486Z [inf]  [IndependenceScore] 8022237f: no responses — excluded
2026-08-08T15:17:13.402166206Z [inf]  [IndependenceScore] 98c19fda: no responses — excluded
2026-08-08T15:17:13.402510140Z [inf]  [IndependenceScore] 9bdc7df5: no responses — excluded
2026-08-08T15:17:13.402521840Z [inf]  [IndependenceScore] 1133d4f2: no responses — excluded
2026-08-08T15:17:13.402525130Z [inf]  [IndependenceScore] 6dbf7350: no responses — excluded
2026-08-08T15:17:13.402531869Z [inf]  [IndependenceScore] 93cf90ce: no responses — excluded
2026-08-08T15:17:13.402532259Z [inf]  [IndependenceScore] e776b6c7: no responses — excluded
2026-08-08T15:17:13.402533339Z [inf]  [IndependenceScore] 8b96cb69 Q3: raw=5/35 norm=14 words=23 fired=[answered_not_skipped]
2026-08-08T15:17:13.402537939Z [inf]  [IndependenceScore] 04cb0dc7 Q1: raw=5/35 norm=14 words=11 fired=[answered_not_skipped]
2026-08-08T15:17:13.402542029Z [inf]  [IndependenceScore] 8b96cb69: session_score=34 (avg=24 bonus=10)
2026-08-08T15:17:13.402542739Z [inf]  [IndependenceScore] 97463165: no responses — excluded
2026-08-08T15:17:13.402545689Z [inf]  [IndependenceScore] 04cb0dc7: session_score=14 (avg=14 bonus=0)
2026-08-08T15:17:13.402550219Z [inf]  [IndependenceScore] 3289668d: no responses — excluded
2026-08-08T15:17:13.402553139Z [inf]  [IndependenceScore] f9808f63: no responses — excluded
2026-08-08T15:17:13.402557299Z [inf]  [IndependenceScore] dd69179c: no responses — excluded
2026-08-08T15:17:13.402560579Z [inf]  [IndependenceScore] ec4d3881: no responses — excluded
2026-08-08T15:17:13.402564849Z [inf]  [IndependenceScore] 8b82955a: no responses — excluded
2026-08-08T15:17:13.402568639Z [inf]  [IndependenceScore] 621cd288: no responses — excluded
2026-08-08T15:17:13.402572279Z [inf]  [IndependenceScore] 87f71228: no responses — excluded
2026-08-08T15:17:13.402575899Z [inf]  [IndependenceScore] 8b96cb69 Q2: raw=15/35 norm=43 words=16 fired=[stakeholder_surfacing, answered_not_skipped]
2026-08-08T15:17:13.402579259Z [inf]  [IndependenceScore] 8b96cb69 Q1: raw=5/35 norm=14 words=24 fired=[answered_not_skipped]
2026-08-08T15:17:13.402936333Z [inf]  [IndependenceScore] f1875d95: no responses — excluded
2026-08-08T15:17:13.402936403Z [inf]  [IndependenceScore] 8277ad67: no responses — excluded
2026-08-08T15:17:13.402941583Z [inf]  [IndependenceScore] 2a21251b: no responses — excluded
2026-08-08T15:17:13.402941723Z [inf]  [IndependenceScore] 3745acdd: no responses — excluded
2026-08-08T15:17:13.402945683Z [inf]  [IndependenceScore] 8f29cc48: no responses — excluded
2026-08-08T15:17:13.402945933Z [inf]  [IndependenceScore] 46c576f4: no responses — excluded
2026-08-08T15:17:13.402949533Z [inf]  [IndependenceScore] fb5520a1 Q1: raw=5/35 norm=14 words=46 fired=[answered_not_skipped]
2026-08-08T15:17:13.402949593Z [inf]  [IndependenceScore] 51c19379: no responses — excluded
2026-08-08T15:17:13.402953292Z [inf]  [IndependenceScore] 73938b3c: no responses — excluded
2026-08-08T15:17:13.402953322Z [inf]  [IndependenceScore] fb5520a1 Q2: raw=15/35 norm=43 words=30 fired=[stakeholder_surfacing, answered_not_skipped]
2026-08-08T15:17:13.402956762Z [inf]  [IndependenceScore] 43c914be: no responses — excluded
2026-08-08T15:17:13.402957322Z [inf]  [IndependenceScore] fb5520a1: session_score=29 (avg=29 bonus=0)
2026-08-08T15:17:13.402960762Z [inf]  [IndependenceScore] dac5d6e7: no responses — excluded
2026-08-08T15:17:13.402966232Z [inf]  [IndependenceScore] 1e373413: no responses — excluded
2026-08-08T15:17:13.402969802Z [inf]  [IndependenceScore] ae080e20: no responses — excluded
2026-08-08T15:17:13.402973912Z [inf]  [IndependenceScore] 5c6548e1: no responses — excluded
2026-08-08T15:17:13.402977652Z [inf]  [IndependenceScore] ca9054da: no responses — excluded
2026-08-08T15:17:13.402981212Z [inf]  [IndependenceScore] a6f1ad4f Q1: raw=0/35 norm=0 words=3 fired=[none]
2026-08-08T15:17:13.402984262Z [inf]  [IndependenceScore] a6f1ad4f Q2: raw=0/35 norm=0 words=3 fired=[none]
2026-08-08T15:17:13.402987402Z [inf]  [IndependenceScore] a6f1ad4f: session_score=0 (avg=0 bonus=0)
2026-08-08T15:17:13.404072874Z [inf]  [IndependenceScore] e2300cc8 Q1: raw=5/35 norm=14 words=25 fired=[answered_not_skipped]
2026-08-08T15:17:13.404079484Z [inf]  [IndependenceScore] e2300cc8 Q2: raw=5/35 norm=14 words=44 fired=[answered_not_skipped]
2026-08-08T15:17:13.404083704Z [inf]  [IndependenceScore] e2300cc8: session_score=14 (avg=14 bonus=0)
2026-08-08T15:17:13.404090993Z [inf]  [IndependenceScore] 5a077574: no responses — excluded
2026-08-08T15:17:13.404091493Z [inf]  [IndependenceScore] d719b7c6: no responses — excluded
2026-08-08T15:17:13.404093543Z [inf]  [IndependenceScore] 34a5e2cc: no responses — excluded
2026-08-08T15:17:13.404098153Z [inf]  [IndependenceScore] ad729aa1: no responses — excluded
2026-08-08T15:17:13.404100173Z [inf]  [IndependenceScore] ab0f42f8: no responses — excluded
2026-08-08T15:17:13.404105423Z [inf]  [IndependenceScore] 7911180f: no responses — excluded
2026-08-08T15:17:13.404108753Z [inf]  [IndependenceScore] c7353cb6: no responses — excluded
2026-08-08T15:17:13.404109413Z [inf]  [IndependenceScore] 1f36717b Q2: raw=5/35 norm=14 words=11 fired=[answered_not_skipped]
2026-08-08T15:17:13.404110413Z [inf]  [IndependenceScore] 439539d6 Q1: raw=5/35 norm=14 words=26 fired=[answered_not_skipped]
2026-08-08T15:17:13.404120073Z [inf]  [IndependenceScore] fa581728: no responses — excluded
2026-08-08T15:17:13.404121623Z [inf]  [IndependenceScore] d201795c: no responses — excluded
2026-08-08T15:17:13.404122883Z [inf]  [IndependenceScore] 1f36717b Q3: raw=5/35 norm=14 words=15 fired=[answered_not_skipped]
2026-08-08T15:17:13.404133883Z [inf]  [IndependenceScore] 8ae1e391: no responses — excluded
2026-08-08T15:17:13.404134063Z [inf]  [IndependenceScore] 1f36717b: session_score=14 (avg=14 bonus=0)
2026-08-08T15:17:13.404145943Z [inf]  [IndependenceScore] ba81bff8: no responses — excluded
2026-08-08T15:17:13.404146073Z [inf]  [IndependenceScore] 1b56e761: no responses — excluded
2026-08-08T15:17:13.404153882Z [inf]  [IndependenceScore] f611c8f9: no responses — excluded
2026-08-08T15:17:13.404485527Z [inf]  [IndependenceScore] 439539d6 Q2: raw=5/35 norm=14 words=18 fired=[answered_not_skipped]
2026-08-08T15:17:13.404491877Z [inf]  [IndependenceScore] 439539d6: session_score=14 (avg=14 bonus=0)
2026-08-08T15:17:13.404496167Z [inf]  [IndependenceScore] 0fa9a151 Q2: raw=5/35 norm=14 words=11 fired=[answered_not_skipped]
2026-08-08T15:17:13.404500077Z [inf]  [IndependenceScore] 0fa9a151: session_score=14 (avg=14 bonus=0)
2026-08-08T15:17:13.404503517Z [inf]  [IndependenceScore] cf5edbd5: no responses — excluded
2026-08-08T15:17:13.404508097Z [inf]  [IndependenceScore] 4b45786b: no responses — excluded
2026-08-08T15:17:13.404511776Z [inf]  [IndependenceScore] 13c0d6f2: no responses — excluded
2026-08-08T15:17:13.404515356Z [inf]  [IndependenceScore] 41de5ce0: no responses — excluded
2026-08-08T15:17:13.404520136Z [inf]  [IndependenceScore] 89504efe: no responses — excluded
2026-08-08T15:17:13.404523676Z [inf]  [IndependenceScore] 1199dd86: no responses — excluded
2026-08-08T15:17:13.404527186Z [inf]  [IndependenceScore] f48276ea: no responses — excluded
2026-08-08T15:17:13.404530686Z [inf]  [IndependenceScore] 0838c6b6 Q1: raw=5/35 norm=14 words=25 fired=[answered_not_skipped]
2026-08-08T15:17:13.404534336Z [inf]  [IndependenceScore] 0838c6b6 Q2: raw=5/35 norm=14 words=11 fired=[answered_not_skipped]
2026-08-08T15:17:13.404537696Z [inf]  [IndependenceScore] 0838c6b6 Q3: raw=5/35 norm=14 words=6 fired=[answered_not_skipped]
2026-08-08T15:17:13.404540786Z [inf]  [IndependenceScore] 0838c6b6: session_score=24 (avg=14 bonus=10)
2026-08-08T15:17:13.404544196Z [inf]  [IndependenceScore] 2c6d338b Q1: raw=5/35 norm=14 words=22 fired=[answered_not_skipped]
2026-08-08T15:17:13.404547586Z [inf]  [IndependenceScore] 2c6d338b Q2: raw=5/35 norm=14 words=3 fired=[answered_not_skipped]
2026-08-08T15:17:13.404552196Z [inf]  [IndependenceScore] 2c6d338b Q3: raw=5/35 norm=14 words=17 fired=[answered_not_skipped]
2026-08-08T15:17:13.405196875Z [inf]  [IndependenceScore] 8dcacf68: no responses — excluded
2026-08-08T15:17:13.405203905Z [inf]  [IndependenceScore] 4216dbf3: no responses — excluded
2026-08-08T15:17:13.405205895Z [inf]  [IndependenceScore] 2c6d338b: session_score=24 (avg=14 bonus=10)
2026-08-08T15:17:13.405211295Z [inf]  [IndependenceScore] ccb67bac: final=20 delta=2 baseline=18
2026-08-08T15:17:13.405219055Z [inf]  [Examiner POST] Independence score triggered for session 4216dbf3-474e-4660-a9bf-7898d3195468
2026-08-08T15:17:13.405219835Z [inf]  [IndependenceScore] a177c50b: no responses — excluded
2026-08-08T15:17:13.405224275Z [inf]  [IndependenceScore] 8700e14c: no responses — excluded
2026-08-08T15:17:13.405228164Z [inf]  [IndependenceScore] 3926a818: no responses — excluded
2026-08-08T15:17:13.405231584Z [inf]  [IndependenceScore] 2c593f1d: no responses — excluded
2026-08-08T15:17:13.405235504Z [inf]  [IndependenceScore] d6a911c9: no responses — excluded
2026-08-08T15:17:13.405239974Z [inf]  [IndependenceScore] d7c027b6: no responses — excluded
2026-08-08T15:17:13.405244104Z [inf]  [IndependenceScore] 9d1b5d00: no responses — excluded
2026-08-08T15:17:13.405248294Z [inf]  [IndependenceScore] 7aa1eccd Q1: raw=5/35 norm=14 words=31 fired=[answered_not_skipped]
2026-08-08T15:17:13.405252064Z [inf]  [IndependenceScore] 7aa1eccd Q2: raw=5/35 norm=14 words=19 fired=[answered_not_skipped]
2026-08-08T15:17:13.405255494Z [inf]  [IndependenceScore] 7aa1eccd Q3: raw=5/35 norm=14 words=29 fired=[answered_not_skipped]
2026-08-08T15:17:13.405260034Z [inf]  [IndependenceScore] 7aa1eccd: session_score=24 (avg=14 bonus=10)
2026-08-08T15:17:13.405263854Z [inf]  [IndependenceScore] a2bddbc4: no responses — excluded
2026-08-08T15:17:13.405267144Z [inf]  [IndependenceScore] af903523: no responses — excluded
2026-08-08T15:17:15.766592454Z [inf]  [AIClient] createCompletion → mistral-cloud (mistral-small-latest) (800 max tokens) [tiered]
2026-08-08T15:17:16.557469952Z [inf]  [contradictions] user=ccb67bac-e168-4e9b-af80-8838b83db550 evidence=8 found=0 inserted=0
2026-08-08T15:17:16.557473361Z [inf]  [Examiner POST] Contradictions triggered for session 4216dbf3-474e-4660-a9bf-7898d3195468
2026-08-08T15:17:18.485689552Z [inf]  [Persona] Continuity block injected for contrarian | inferred match | session 4216dbf3-474e-4660-a9bf-7898d3195468
2026-08-08T15:17:18.485695442Z [inf]  [Persona] Mistral-family prompt extension applied for contrarian | session 4216dbf3-474e-4660-a9bf-7898d3195468
2026-08-08T15:17:18.485699122Z [inf]  [Persona] Council context injected for contrarian (initial) | session 4216dbf3-474e-4660-a9bf-7898d3195468
2026-08-08T15:17:18.485702712Z [inf]  [Persona] Bias alert injected for contrarian | session 4216dbf3-474e-4660-a9bf-7898d3195468
2026-08-08T15:17:18.485706782Z [inf]  [AIClient] createStream → mistral-cloud (mistral-small-latest) (2200 max tokens) [tiered]
2026-08-08T15:17:18.620948134Z [inf]  [Persona] Continuity block injected for risk_architect | inferred match | session 4216dbf3-474e-4660-a9bf-7898d3195468
2026-08-08T15:17:18.620955434Z [inf]  [Persona] Mistral-family prompt extension applied for risk_architect | session 4216dbf3-474e-4660-a9bf-7898d3195468
2026-08-08T15:17:18.620960434Z [inf]  [Persona] Council context injected for risk_architect (initial) | session 4216dbf3-474e-4660-a9bf-7898d3195468
2026-08-08T15:17:18.620964334Z [inf]  [Persona] Bias alert injected for risk_architect | session 4216dbf3-474e-4660-a9bf-7898d3195468
2026-08-08T15:17:18.620968244Z [inf]  [AIClient] createStream → mistral-cloud (mistral-small-latest) (2200 max tokens) [tiered]
2026-08-08T15:17:18.755624906Z [inf]  [Persona] Continuity block injected for elder | inferred match | session 4216dbf3-474e-4660-a9bf-7898d3195468
2026-08-08T15:17:18.755633226Z [inf]  [Persona] Mistral-family prompt extension applied for elder | session 4216dbf3-474e-4660-a9bf-7898d3195468
2026-08-08T15:17:18.755637166Z [inf]  [Persona] Council context injected for elder (initial) | session 4216dbf3-474e-4660-a9bf-7898d3195468
2026-08-08T15:17:18.755640146Z [inf]  [Persona] Bias alert injected for elder | session 4216dbf3-474e-4660-a9bf-7898d3195468
2026-08-08T15:17:18.755643486Z [inf]  [AIClient] createStream → mistral-cloud (mistral-small-latest) (2200 max tokens) [tiered]
2026-08-08T15:17:19.312822685Z [inf]  [Persona] Continuity block injected for pattern_analyst | inferred match | session 4216dbf3-474e-4660-a9bf-7898d3195468
2026-08-08T15:17:19.312827425Z [inf]  [Persona] Mistral-family prompt extension applied for pattern_analyst | session 4216dbf3-474e-4660-a9bf-7898d3195468
2026-08-08T15:17:19.312830565Z [inf]  [Persona] Council context injected for pattern_analyst (initial) | session 4216dbf3-474e-4660-a9bf-7898d3195468
2026-08-08T15:17:19.312833815Z [inf]  [Persona] Bias alert injected for pattern_analyst | session 4216dbf3-474e-4660-a9bf-7898d3195468
2026-08-08T15:17:19.312836865Z [inf]  [AIClient] createStream → mistral-cloud (mistral-small-latest) (2200 max tokens) [tiered]
2026-08-08T15:17:19.653123844Z [inf]  [Persona] Continuity block injected for stakeholder_mirror | inferred match | session 4216dbf3-474e-4660-a9bf-7898d3195468
2026-08-08T15:17:19.653128954Z [inf]  [Persona] Mistral-family prompt extension applied for stakeholder_mirror | session 4216dbf3-474e-4660-a9bf-7898d3195468
2026-08-08T15:17:19.653132604Z [inf]  [Persona] Council context injected for stakeholder_mirror (initial) | session 4216dbf3-474e-4660-a9bf-7898d3195468
2026-08-08T15:17:19.653135624Z [inf]  [Persona] Bias alert injected for stakeholder_mirror | session 4216dbf3-474e-4660-a9bf-7898d3195468
2026-08-08T15:17:19.653138794Z [inf]  [AIClient] createStream → mistral-cloud (mistral-small-latest) (2200 max tokens) [tiered]
2026-08-08T15:17:19.724078610Z [inf]  [Persona] Continuity block injected for competitor | inferred match | session 4216dbf3-474e-4660-a9bf-7898d3195468
2026-08-08T15:17:19.724084090Z [inf]  [Persona] Mistral-family prompt extension applied for competitor | session 4216dbf3-474e-4660-a9bf-7898d3195468
2026-08-08T15:17:19.724087080Z [inf]  [Persona] Council context injected for competitor (initial) | session 4216dbf3-474e-4660-a9bf-7898d3195468
2026-08-08T15:17:19.724089960Z [inf]  [Persona] Bias alert injected for competitor | session 4216dbf3-474e-4660-a9bf-7898d3195468
2026-08-08T15:17:19.724092759Z [inf]  [AIClient] createStream → mistral-cloud (mistral-small-latest) (2200 max tokens) [tiered]
2026-08-08T15:17:19.890326104Z [err]  [MistralLimiter] queue backed up: 4 call(s) waiting (4 elite) — Mistral account ceiling is 1.67 req/s / 100000 tokens/min. This is expected under real concurrent load; if it's persistent, the account plan likely needs a higher limit.
2026-08-08T15:17:21.907561650Z [inf]  [BiasScore] Scored 15 parameters. Detected: overconfidence, attribution_asymmetry, control_illusion, exit_optionality_mispricing, recency_bias, loss_aversion_reversal, complexity_opacity
2026-08-08T15:17:22.603700689Z [err]  [StructuralEchoAudit] session=4216dbf3-474e-4660-a9bf-7898d3195468 persona=contrarian cited=false | stop_reason=stop
2026-08-08T15:17:23.158858492Z [inf]  [AIClient] createCompletion → mistral-cloud (mistral-small-latest) (120 max tokens) [tiered]
2026-08-08T15:17:23.964904816Z [err]  [StructuralEchoAudit] session=4216dbf3-474e-4660-a9bf-7898d3195468 persona=risk_architect cited=false | stop_reason=stop
2026-08-08T15:17:24.003701929Z [inf]  [StructuralEnrich] session=4216dbf3-474e-4660-a9bf-7898d3195468 persona=contrarian — citation added retroactively
2026-08-08T15:17:24.589120646Z [err]  [StructuralEchoAudit] session=4216dbf3-474e-4660-a9bf-7898d3195468 persona=elder cited=true | stop_reason=stop
2026-08-08T15:17:24.958257343Z [inf]  [AIClient] createCompletion → mistral-cloud (mistral-small-latest) (120 max tokens) [tiered]
2026-08-08T15:17:24.958262273Z [err]  [StructuralEchoAudit] session=4216dbf3-474e-4660-a9bf-7898d3195468 persona=pattern_analyst cited=false | stop_reason=stop
2026-08-08T15:17:25.842040661Z [err]  [StructuralEchoAudit] session=4216dbf3-474e-4660-a9bf-7898d3195468 persona=stakeholder_mirror cited=false | stop_reason=stop
2026-08-08T15:17:25.846716912Z [inf]  [AIClient] createCompletion → mistral-cloud (mistral-small-latest) (120 max tokens) [tiered]
2026-08-08T15:17:25.850258813Z [inf]  [BiasScore] Upserted 7 bias rows
2026-08-08T15:17:25.854964755Z [inf]  [Examiner POST] Bias score triggered for session 4216dbf3-474e-4660-a9bf-7898d3195468
2026-08-08T15:17:25.922358480Z [inf]  [StructuralEnrich] session=4216dbf3-474e-4660-a9bf-7898d3195468 persona=risk_architect — citation added retroactively
2026-08-08T15:17:26.619423664Z [inf]  [StructuralEnrich] session=4216dbf3-474e-4660-a9bf-7898d3195468 persona=pattern_analyst — citation added retroactively
2026-08-08T15:17:26.619436154Z [inf]  [AIClient] createCompletion → mistral-cloud (mistral-small-latest) (120 max tokens) [tiered]
2026-08-08T15:17:27.439165020Z [inf]  [StructuralEnrich] session=4216dbf3-474e-4660-a9bf-7898d3195468 persona=stakeholder_mirror — citation added retroactively
2026-08-08T15:17:32.457873923Z [inf]  [DecisionContinuity] Auto-trigger: inferred match score 96 | session 4216dbf3-474e-4660-a9bf-7898d3195468 → 8dcacf68-f2c2-495b-8ca6-d3024e214e2a
2026-08-08T15:17:38.232572630Z [inf]  [Persona] Longitudinal bias block injected for synthesis | session 4216dbf3-474e-4660-a9bf-7898d3195468
2026-08-08T15:17:38.232578940Z [inf]  [Persona] Graph context injected for synthesis | 6 connection(s) | session 4216dbf3-474e-4660-a9bf-7898d3195468
2026-08-08T15:17:38.500263061Z [inf]  [Persona] Council weighting directive injected for synthesis | session 4216dbf3-474e-4660-a9bf-7898d3195468
2026-08-08T15:17:39.316177591Z [inf]  [Persona] Council context injected for synthesis (synthesis) | session 4216dbf3-474e-4660-a9bf-7898d3195468
2026-08-08T15:17:39.316181391Z [inf]  [AIClient] createStream → anthropic-elite (claude-sonnet-4-6) (3200 max tokens) [tiered]
2026-08-08T15:18:29.315219478Z [inf]  [AIClient] createCompletion → anthropic-elite (claude-sonnet-4-6) (80 max tokens) [tiered]
2026-08-08T15:21:50.455303354Z [inf]  [AIClient] createCompletion → mistral-cloud (mistral-small-latest) (2000 max tokens) [tiered]
2026-08-08T15:21:50.455307964Z [inf]  [StructuralMatch] Ontology not complete for session 65784d2f-65c6-4d40-ac61-2c1eba69fe47 — client should retry
2026-08-08T15:21:50.923775730Z [inf]  [Ontology] Session 65784d2f-65c6-4d40-ac61-2c1eba69fe47 | type: allocation | mode: REDIRECT | rules: R7 | flags: none | identity: 2 | regret: 3 | upstream: 1
2026-08-08T15:21:52.117634866Z [inf]  [StructuralMatch] No user identity on session 65784d2f-65c6-4d40-ac61-2c1eba69fe47 — skipping past session retrieval
2026-08-08T15:21:53.562251869Z [inf]  [AIClient] createCompletion → mistral-cloud (mistral-small-latest) (150 max tokens) [tiered]
2026-08-08T15:21:53.931622298Z [inf]  [StructuralMatch] No user identity on session 65784d2f-65c6-4d40-ac61-2c1eba69fe47 — skipping past session retrieval
2026-08-08T15:21:54.070182367Z [inf]  [Examiner GET] R7 downgraded REDIRECT→GATE for session 65784d2f-65c6-4d40-ac61-2c1eba69fe47: The decision hinges on trade-offs between known pricing and rate limits, with missing regional performance data being a sharpening input rather than a complete hinge.
2026-08-08T15:21:54.070184827Z [inf]  [ExaminerMetric] session=65784d2f-65c6-4d40-ac61-2c1eba69fe47 mode=GATE (raw=REDIRECT, downgraded=true) rule=R7
2026-08-08T15:21:54.070187047Z [inf]  [AIClient] createCompletion → mistral-cloud (mistral-small-latest) (80 max tokens) [tiered]
2026-08-08T15:21:54.070189517Z [inf]  [AIClient] createCompletion → mistral-cloud (mistral-small-latest) (80 max tokens) [tiered]
2026-08-08T15:21:54.070192577Z [inf]  [AIClient] createCompletion → mistral-cloud (mistral-small-latest) (80 max tokens) [tiered]
2026-08-08T15:21:54.070194837Z [err]  [MistralLimiter] queue backed up: 3 call(s) waiting (0 elite) — Mistral account ceiling is 1.67 req/s / 100000 tokens/min. This is expected under real concurrent load; if it's persistent, the account plan likely needs a higher limit.
2026-08-08T15:21:56.652419474Z [inf]  [Examiner GET] SB-2 v2.0 | session 65784d2f-65c6-4d40-ac61-2c1eba69fe47 | mode: GATE | questions: E0,R7,C0 | s0: false (57w) | profile: false | fears: false
2026-08-08T15:22:16.631118714Z [inf]  [Examiner POST] Contradictions triggered for session 65784d2f-65c6-4d40-ac61-2c1eba69fe47
2026-08-08T15:22:16.631123584Z [inf]  [Examiner POST] Independence score triggered for session 65784d2f-65c6-4d40-ac61-2c1eba69fe47
2026-08-08T15:22:16.631126894Z [inf]  [BiasScore] Scoring session 65784d2f-65c6-4d40-ac61-2c1eba69fe47 (identity: anonymous)
2026-08-08T15:22:16.631130354Z [inf]  [BiasScore] 0 user pushback message(s) for session 65784d2f-65c6-4d40-ac61-2c1eba69fe47
2026-08-08T15:22:16.631134794Z [inf]  [BiasScore] Scoring from decision_text only for session 65784d2f-65c6-4d40-ac61-2c1eba69fe47 — no examiner or pushback data yet
2026-08-08T15:22:16.631137394Z [inf]  [AIClient] createCompletion → mistral-cloud (mistral-small-latest) (4000 max tokens) [tiered]
2026-08-08T15:22:22.212497889Z [inf]  [Persona] Mistral-family prompt extension applied for competitor | session 65784d2f-65c6-4d40-ac61-2c1eba69fe47
2026-08-08T15:22:22.212501049Z [inf]  [Persona] Council context injected for competitor (initial) | session 65784d2f-65c6-4d40-ac61-2c1eba69fe47
2026-08-08T15:22:22.212503589Z [inf]  [AIClient] createStream → mistral-cloud (mistral-small-latest) (2200 max tokens) [tiered]
2026-08-08T15:22:22.216580471Z [inf]  [Persona] Mistral-family prompt extension applied for pattern_analyst | session 65784d2f-65c6-4d40-ac61-2c1eba69fe47
2026-08-08T15:22:22.216586601Z [inf]  [Persona] Council context injected for pattern_analyst (initial) | session 65784d2f-65c6-4d40-ac61-2c1eba69fe47
2026-08-08T15:22:22.216589881Z [inf]  [AIClient] createStream → mistral-cloud (mistral-small-latest) (2200 max tokens) [tiered]
2026-08-08T15:22:22.216593721Z [inf]  [Persona] Mistral-family prompt extension applied for stakeholder_mirror | session 65784d2f-65c6-4d40-ac61-2c1eba69fe47
2026-08-08T15:22:22.216597651Z [inf]  [Persona] Council context injected for stakeholder_mirror (initial) | session 65784d2f-65c6-4d40-ac61-2c1eba69fe47
2026-08-08T15:22:22.216601191Z [inf]  [AIClient] createStream → mistral-cloud (mistral-small-latest) (2200 max tokens) [tiered]
2026-08-08T15:22:22.217065613Z [inf]  [Persona] Mistral-family prompt extension applied for contrarian | session 65784d2f-65c6-4d40-ac61-2c1eba69fe47
2026-08-08T15:22:22.217069463Z [inf]  [Persona] Council context injected for contrarian (initial) | session 65784d2f-65c6-4d40-ac61-2c1eba69fe47
2026-08-08T15:22:22.217072063Z [inf]  [AIClient] createStream → mistral-cloud (mistral-small-latest) (2200 max tokens) [tiered]
2026-08-08T15:22:22.226448837Z [inf]  [Persona] Mistral-family prompt extension applied for elder | session 65784d2f-65c6-4d40-ac61-2c1eba69fe47
2026-08-08T15:22:22.226453407Z [inf]  [Persona] Council context injected for elder (initial) | session 65784d2f-65c6-4d40-ac61-2c1eba69fe47
2026-08-08T15:22:22.226456337Z [inf]  [AIClient] createStream → mistral-cloud (mistral-small-latest) (2200 max tokens) [tiered]
2026-08-08T15:22:22.491908819Z [inf]  [Persona] Mistral-family prompt extension applied for risk_architect | session 65784d2f-65c6-4d40-ac61-2c1eba69fe47
2026-08-08T15:22:22.491915349Z [inf]  [Persona] Council context injected for risk_architect (initial) | session 65784d2f-65c6-4d40-ac61-2c1eba69fe47
2026-08-08T15:22:22.491919609Z [inf]  [AIClient] createStream → mistral-cloud (mistral-small-latest) (2200 max tokens) [tiered]
2026-08-08T15:22:23.056788048Z [err]  [MistralLimiter] queue backed up: 5 call(s) waiting (0 elite) — Mistral account ceiling is 1.67 req/s / 100000 tokens/min. This is expected under real concurrent load; if it's persistent, the account plan likely needs a higher limit.
2026-08-08T15:22:25.396505522Z [inf]  [BiasScore] Scored 15 parameters. Detected: fomo_urgency, overconfidence, control_illusion, exit_optionality_mispricing, uniqueness_fallacy, loss_aversion_reversal, complexity_opacity
2026-08-08T15:22:29.247321574Z [inf]  [BiasScore] Upserted 7 bias rows
2026-08-08T15:22:29.247324094Z [inf]  [Examiner POST] Bias score triggered for session 65784d2f-65c6-4d40-ac61-2c1eba69fe47
2026-08-08T15:22:35.601317077Z [inf]  [Persona] Council weighting directive injected for synthesis | session 65784d2f-65c6-4d40-ac61-2c1eba69fe47
2026-08-08T15:22:36.389101937Z [inf]  [Persona] Mistral-family prompt extension applied for synthesis | session 65784d2f-65c6-4d40-ac61-2c1eba69fe47
2026-08-08T15:22:36.389108687Z [inf]  [Persona] Council context injected for synthesis (synthesis) | session 65784d2f-65c6-4d40-ac61-2c1eba69fe47
2026-08-08T15:22:36.389112077Z [inf]  [AIClient] createStream → mistral-cloud (mistral-small-latest) (3200 max tokens) [tiered]
2026-08-08T15:22:39.818554088Z [err]  [SynthesisAudit] session=65784d2f-65c6-4d40-ac61-2c1eba69fe47 missing mandatory tag(s): action_plan | stop_reason=stop
2026-08-08T15:22:39.818558678Z [inf]  [AIClient] createCompletion → mistral-cloud (mistral-small-latest) (400 max tokens) [tiered]
2026-08-08T15:22:41.433782899Z [err]  [SynthesisAudit] session=65784d2f-65c6-4d40-ac61-2c1eba69fe47 action_plan backfilled successfully
2026-08-08T15:23:11.593565219Z [inf]  [Persona] Mistral-family prompt extension applied for contrarian | session 65784d2f-65c6-4d40-ac61-2c1eba69fe47
2026-08-08T15:23:11.593567579Z [inf]  [AIClient] createStream → mistral-cloud (mistral-small-latest) (2200 max tokens) [tiered]
2026-08-08T15:23:11.593570679Z [inf]  [Persona] Mistral-family prompt extension applied for risk_architect | session 65784d2f-65c6-4d40-ac61-2c1eba69fe47
